Chapter number,Macro book,Era,13-chapter cluster,10-chapter Walter cycle,Year or approximate year,Location,POV character or artifact type,Chapter title,Word target,Immediate human conflict,World-system advanced,Walter visible or invisible role,Canon event touched,Divergence status,New lore introduced,Character introduced or developed,Consequence seeded,Payoff target chapter,Editing warning
11,Book I: Chains,Era 1: The Weirwood Wound,01.11 Second-order consequence,Walter-shadow 1/9,129,Volantis,Hareth,Harbor Sour,750,Spoiled rations reveal clean barrels matter.,Food storage,Walter barrel mark spreads,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Food storage claim tagged before drafting; grounded in the Book I Volantis escape system.,Hareth developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 11 returns with altered stakes.",Ch. 76,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
12,Book I: Chains,Era 1: The Weirwood Wound,01.12 Moral complication,Walter-shadow 2/9,129,Weirwood memory,Miraq,Perfume Smoke,750,Alcohol distillation nearly burns a room.,Materials,Walter stops a worse fire with silence,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Materials claim tagged before drafting; grounded in the Book I Volantis escape system.,Miraq developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 12 returns with altered stakes.",Ch. 90,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
13,Book I: Chains,Era 1: The Weirwood Wound,01.13 Label-ledger-law-song artifact,Walter-shadow 3/9,129,laundry yard,The Red Ledger,The Red Ledger,750,A transfer line acquires an impossible correction.,Records,Walter status bends,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Records claim tagged before drafting; grounded in the Book I Volantis escape system.,The Red Ledger developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 13 returns with altered stakes.",Ch. 104,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
14,Book I: Chains,Era 1: The Weirwood Wound,02.01 Opening pressure,Walter-shadow 4/9,129,red temple precinct,Palla,Palla's Bowl,750,Midwife washes hands after a corpse birth.,Public health,Walter points to ash soap,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Public health claim tagged before drafting; grounded in the Book I Volantis escape system.,Palla developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 14 returns with altered stakes.",Ch. 27,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
15,Book I: Chains,Era 1: The Weirwood Wound,02.02 Local character introduced,Walter-shadow 5/9,129,corpse quay,Orro,Guard with Flame Hands,750,A slave soldier wants less rot in barracks.,War/security,Walter supplies cloth routine,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,War/security claim tagged before drafting; grounded in the Book I Volantis escape system.,Orro developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 15 returns with altered stakes.",Ch. 41,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
16,Book I: Chains,Era 1: The Weirwood Wound,02.03 Material system problem,Walter-shadow 6/9,129,Volantis,Morya,Fish and Vinegar,750,"Preserved fish feeds sick children, angers a seller.",Food preservation,Walter sees price signal,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Food preservation claim tagged before drafting; grounded in the Book I Volantis escape system.,Morya developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 16 returns with altered stakes.",Ch. 55,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
17,Book I: Chains,Era 1: The Weirwood Wound,02.04 Social consequence,Walter-shadow 7/9,129,Weirwood memory,Belicho,Stripes,750,Tiger-cloak veteran suspects organized fraud.,Counterforce,Walter becomes too useful,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Counterforce claim tagged before drafting; grounded in the Book I Volantis escape system.,Belicho developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 17 returns with altered stakes.",Ch. 69,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
18,Book I: Chains,Era 1: The Weirwood Wound,02.05 Hidden Walter effect,Walter-shadow 8/9,129,laundry yard,Senelle,Three Cuts,750,Cleaned wounds heal unevenly; one patient dies.,Biology,Walter learns statistics need numbers,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Biology claim tagged before drafting; grounded in the Book I Volantis escape system.,Senelle developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 18 returns with altered stakes.",Ch. 83,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
19,Book I: Chains,Era 1: The Weirwood Wound,02.06 Unexpected cost,Walter-shadow 9/9,129,red temple precinct,Thoro,Prestayn's Copper,750,Noble factor notices dye yields improve.,Commerce,Walter is almost purchased upward,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Commerce claim tagged before drafting; grounded in the Book I Volantis escape system.,Thoro developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 19 returns with altered stakes.",Ch. 97,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
20,Book I: Chains,Era 1: The Weirwood Wound,02.07 Counterforce reaction,Walter POV,129,corpse quay,Walter White,No Half Measures,750,Breaking Bad fragment: Mike; Walter chooses redundancy over revenge.,Governance seed,He refuses to kill Qavo,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Governance seed claim tagged before drafting; grounded in the Book I Volantis escape system.,Walter White developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 20 returns with altered stakes.",Ch. 111,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
21,Book I: Chains,Era 1: The Weirwood Wound,02.08 Adaptation,Walter-shadow 1/9,129,Volantis,Naho,Ash Soap,750,"Soap recipe spreads, causing fuel theft punishment.",Health/labor,Walter fix creates harm,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Health/labor claim tagged before drafting; grounded in the Book I Volantis escape system.,Naho developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 21 returns with altered stakes.",Ch. 34,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
22,Book I: Chains,Era 1: The Weirwood Wound,02.09 Partial victory,Walter-shadow 2/9,129,Weirwood memory,Larra,The Quiet Ration,750,Hidden literacy lets slaves alter bread counts.,Knowledge,Walter teaches one mark,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Knowledge claim tagged before drafting; grounded in the Book I Volantis escape system.,Larra developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 22 returns with altered stakes.",Ch. 48,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
23,Book I: Chains,Era 1: The Weirwood Wound,02.10 Walter chapter / shadow reveal,Walter-shadow 3/9,129,laundry yard,Qavo,Quarantine Yellow,750,A quarantine category can hide a living boy.,Records/health,Possible escape route appears,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Records/health claim tagged before drafting; grounded in the Book I Volantis escape system.,Qavo developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 23 returns with altered stakes.",Ch. 62,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
24,Book I: Chains,Era 1: The Weirwood Wound,02.11 Second-order consequence,Walter-shadow 4/9,129,red temple precinct,Betharios,Cart Bell,750,Corpse-cart routes bypass two gates.,Travel,Walter maps timing,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Travel claim tagged before drafting; grounded in the Book I Volantis escape system.,Betharios developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 24 returns with altered stakes.",Ch. 76,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
25,Book I: Chains,Era 1: The Weirwood Wound,02.12 Moral complication,Walter-shadow 5/9,129,corpse quay,Sella,The Wrong Vat,750,A mislabeled dye lot saves a slave from sale.,Labels,Walter tests misclassification,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Labels claim tagged before drafting; grounded in the Book I Volantis escape system.,Sella developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 25 returns with altered stakes.",Ch. 90,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
26,Book I: Chains,Era 1: The Weirwood Wound,02.13 Label-ledger-law-song artifact,Walter-shadow 6/9,129,Volantis,Otherys,"Red Hands, Clean Hands",750,Barracks cleaner becomes suspect.,Security,Walter sanitation has witnesses,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Security claim tagged before drafting; grounded in the Book I Volantis escape system.,Otherys developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 26 returns with altered stakes.",Ch. 104,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
27,Book I: Chains,Era 1: The Weirwood Wound,03.01 Opening pressure,Walter-shadow 7/9,129,Weirwood memory,Marselen,Benerro's Steps,750,A sermon crowd masks a transfer.,Magic/religion,Walter studies crowd flow,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Magic/religion claim tagged before drafting; grounded in the Book I Volantis escape system.,Marselen developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 27 returns with altered stakes.",Ch. 118,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
28,Book I: Chains,Era 1: The Weirwood Wound,03.02 Local character introduced,Walter-shadow 8/9,129,laundry yard,Yna,The Pregnant Tattoo,750,Tattoo fraud succeeds but binds Yna to Walter method.,Freedom,Method becomes repeatable,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Freedom claim tagged before drafting; grounded in the Book I Volantis escape system.,Yna developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 28 returns with altered stakes.",Ch. 41,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
29,Book I: Chains,Era 1: The Weirwood Wound,03.03 Material system problem,Walter-shadow 9/9,129,red temple precinct,Belicho,Tiger Audit,750,"Audit catches two false deaths, misses one transfer.",Counterforce,Walter sacrifices a decoy identity,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Counterforce claim tagged before drafting; grounded in the Book I Volantis escape system.,Belicho developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 29 returns with altered stakes.",Ch. 55,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
30,Book I: Chains,Era 1: The Weirwood Wound,03.04 Social consequence,Walter POV,129,corpse quay,Walter White,Recognition Was the Leak,750,Flashback: Heisenberg pride; he burns a better alias.,Identity,Chooses uglier freedom,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Identity claim tagged before drafting; grounded in the Book I Volantis escape system.,Walter White developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 30 returns with altered stakes.",Ch. 69,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
31,Book I: Chains,Era 1: The Weirwood Wound,03.05 Hidden Walter effect,Walter-shadow 1/9,129,Volantis,Hareth,Salt Room,750,A ship salt store becomes temporary refuge.,Movement,Walter first free route,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Movement claim tagged before drafting; grounded in the Book I Volantis escape system.,Hareth developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 31 returns with altered stakes.",Ch. 83,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
32,Book I: Chains,Era 1: The Weirwood Wound,03.06 Unexpected cost,Walter-shadow 2/9,129,Weirwood memory,Denyo,Braavosi Clause,750,Foreign notary rejects a slave-sale inconsistency.,Law,Walter fake death gains legal shadow,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Law claim tagged before drafting; grounded in the Book I Volantis escape system.,Denyo developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 32 returns with altered stakes.",Ch. 97,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
33,Book I: Chains,Era 1: The Weirwood Wound,03.07 Counterforce reaction,Walter-shadow 3/9,129,laundry yard,Palla,Fever Bell,750,"Fever deaths drop, so masters demand more labor.",Health/economics,Walter sees survival exploited,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Health/economics claim tagged before drafting; grounded in the Book I Volantis escape system.,Palla developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 33 returns with altered stakes.",Ch. 111,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
34,Book I: Chains,Era 1: The Weirwood Wound,03.08 Adaptation,Walter-shadow 4/9,129,red temple precinct,Betharios,Dead Boy's Shoes,750,Another boy pays for the missing body absence.,Cost,Walter cannot save all,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Cost claim tagged before drafting; grounded in the Book I Volantis escape system.,Betharios developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 34 returns with altered stakes.",Ch. 125,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
35,Book I: Chains,Era 1: The Weirwood Wound,03.09 Partial victory,Walter-shadow 5/9,129,corpse quay,Qavo,The Mute Clerk,750,A dead slave becomes a silent assistant.,Identity,First free mask,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Identity claim tagged before drafting; grounded in the Book I Volantis escape system.,Qavo developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 35 returns with altered stakes.",Ch. 48,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
36,Book I: Chains,Era 1: The Weirwood Wound,03.10 Walter chapter / shadow reveal,Walter-shadow 6/9,129,Volantis,Receipt for Ash,Receipt for Ash,750,A receipt chain proves the method can repeat.,Records,Escape recipe encoded,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Records claim tagged before drafting; grounded in the Book I Volantis escape system.,Receipt for Ash developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 36 returns with altered stakes.",Ch. 62,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
37,Book I: Chains,Era 1: The Weirwood Wound,03.11 Second-order consequence,Walter-shadow 7/9,129,Weirwood memory,Naho,Little Ugly Freedom,750,"Naho hides one route for her daughter, not revolution.",Anti-slavery,Walter method leaves him,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Anti-slavery claim tagged before drafting; grounded in the Book I Volantis escape system.,Naho developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 37 returns with altered stakes.",Ch. 76,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
38,Book I: Chains,Era 1: The Weirwood Wound,03.12 Moral complication,Walter-shadow 8/9,129,laundry yard,Belicho,The Boy Not Running,750,Belicho searches roads; Walter remains inside paperwork.,Security,Escape by stillness,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Security claim tagged before drafting; grounded in the Book I Volantis escape system.,Belicho developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 38 returns with altered stakes.",Ch. 90,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
39,Book I: Chains,Era 1: The Weirwood Wound,03.13 Label-ledger-law-song artifact,Walter-shadow 9/9,129,red temple precinct,Red Ledger,Label for the Dead,750,The ledger closes on a false corpse and opens a route.,Records/freedom,Book I first victory: repeatability,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Records/freedom claim tagged before drafting; grounded in the Book I Volantis escape system.,Red Ledger developed in the detailed Book I outline.,"A material habit, debt, enemy, record, or route from chapter 39 returns with altered stakes.",Ch. 104,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
40,Book I: Chains,Era 1: The Weirwood Wound,04.01 Opening pressure,Walter POV,129,corpse quay,Walter White,The Weirwood Wound: Opening pressure,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,Direct interior decision reframes prior nine chapters.,Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Health and biology rule tagged as canon-compatible inference or fic invention; localized to corpse quay.,Walter White developed; tie to corpse quay and health and biology.,"A material habit, debt, enemy, record, or route from chapter 40 returns with altered stakes.",Ch. 118,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
41,Book I: Chains,Era 1: The Weirwood Wound,04.02 Local character introduced,Walter-shadow 1/9,129,Volantis,lantern operator,The Weirwood Wound: Local character introduced,750,"lantern operator needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to Volantis.,lantern operator developed; tie to Volantis and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 41 returns with altered stakes.",Ch. 132,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
42,Book I: Chains,Era 1: The Weirwood Wound,04.03 Material system problem,Walter-shadow 2/9,129,Weirwood memory,dragon safety handler,The Weirwood Wound: Material system problem,750,"dragon safety handler needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Weirwood memory.,dragon safety handler developed; tie to Weirwood memory and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 42 returns with altered stakes.",Ch. 55,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
43,Book I: Chains,Era 1: The Weirwood Wound,04.04 Social consequence,Walter-shadow 3/9,129,laundry yard,public-health inspector,The Weirwood Wound: Social consequence,750,"public-health inspector needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to laundry yard.,public-health inspector developed; tie to laundry yard and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 43 returns with altered stakes.",Ch. 69,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
44,Book I: Chains,Era 1: The Weirwood Wound,04.05 Hidden Walter effect,Walter-shadow 4/9,129,red temple precinct,charter voter,The Weirwood Wound: Hidden Walter effect,750,"charter voter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to red temple precinct.,charter voter developed; tie to red temple precinct and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 44 returns with altered stakes.",Ch. 83,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
45,Book I: Chains,Era 1: The Weirwood Wound,04.06 Unexpected cost,Walter-shadow 5/9,129,corpse quay,archive student,The Weirwood Wound: Unexpected cost,750,"archive student needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance opens after Viserys I dies; Aegon II and Rhaenyra claims,Canon,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to corpse quay.,archive student developed; tie to corpse quay and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 45 returns with altered stakes.",Ch. 97,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
46,Book I: Chains,Era 1: The Weirwood Wound,04.07 Counterforce reaction,Walter-shadow 6/9,130,Volantis,sky-yard riveter,The Weirwood Wound: Counterforce reaction,750,"sky-yard riveter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,War and security rule tagged as canon-compatible inference or fic invention; localized to Volantis.,sky-yard riveter developed; tie to Volantis and war and security.,"A material habit, debt, enemy, record, or route from chapter 46 returns with altered stakes.",Ch. 111,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
47,Book I: Chains,Era 1: The Weirwood Wound,04.08 Adaptation,Walter-shadow 7/9,130,Weirwood memory,slave laundress,The Weirwood Wound: Adaptation,750,"slave laundress needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,Health and biology rule tagged as canon-compatible inference or fic invention; localized to Weirwood memory.,slave laundress developed; tie to Weirwood memory and health and biology.,"A material habit, debt, enemy, record, or route from chapter 47 returns with altered stakes.",Ch. 125,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
48,Book I: Chains,Era 1: The Weirwood Wound,04.09 Partial victory,Walter-shadow 8/9,130,laundry yard,temple slave novice,The Weirwood Wound: Partial victory,750,"temple slave novice needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to laundry yard.,temple slave novice developed; tie to laundry yard and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 48 returns with altered stakes.",Ch. 139,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
49,Book I: Chains,Era 1: The Weirwood Wound,04.10 Walter chapter / shadow reveal,Walter-shadow 9/9,130,red temple precinct,dock ration clerk,The Weirwood Wound: Walter chapter / shadow reveal,750,"dock ration clerk needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to red temple precinct.,dock ration clerk developed; tie to red temple precinct and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 49 returns with altered stakes.",Ch. 62,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
